CYGW,YGW,KUUJJUARAPIK,KUUJJUARARAPIK,CANADA,55,17,0,N,77,46,0,W,20,55.283,-77.767,KUUJJUARAPIK (YGW)
CYGX,YGX,GILLAM,GILLAM,CANADA,56,21,0,N,94,42,0,W,144,56.35,-94.7,GILLAM (YGX)
CYHB,YHB,HUDSON BAY,HUDSON BAY,CANADA,52,49,0,N,102,18,41,W,359,52.817,-102.311,HUDSON BAY (YHB)
CYHD,YHD,DRYDEN RGNL,DRYDEN,CANADA,49,49,54,N,92,44,39,W,413,49.832,-92.744,DRYDEN RGNL (YHD)
CYHI,YHI,HOLMAN,HOLMAN ISLAND,CANADA,70,45,47,N,117,48,21,W,36,70.763,-117.806,HOLMAN (YHI)
CYHK,YHK,GJOA HAVEN,GJOA HAVEN,CANADA,68,38,8,N,95,50,59,W,47,68.636,-95.85,GJOA HAVEN (YHK)
CYHM,YHM,HAMILTON,HAMILTON,CANADA,43,10,23,N,79,56,6,W,238,43.173,-79.935,HAMILTON (YHM)
CYHU,YHU,ST HUBERT,MONTREAL,CANADA,45,31,3,N,73,25,1,W,28,45.517,-73.417,ST HUBERT (YHU)
CYHY,YHY,HAY RIVER,HAY RIVER,CANADA,60,50,23,N,115,46,58,W,166,60.84,-115.783,HAY RIVER (YHY)
CYHZ,YHZ,HALIFAX INTERNATIONAL,HALIFAX,CANADA,44,52,51,N,63,30,31,W,146,44.881,-63.509,HALIFAX INTERNATIONAL (YHZ)
CYIB,YIB,ATIKOKAN MUNI,ATIKOKAN,CANADA,48,46,26,N,91,38,19,W,430,48.774,-91.639,ATIKOKAN MUNI (YIB)
CYIO,YIO,POND INLET,POND INLET,CANADA,72,41,0,N,77,58,0,W,56,72.683,-77.967,POND INLET (YIO)
CYJN,YJN,ST JEAN,ST. JEAN,CANADA,45,17,40,N,73,16,52,W,42,45.294,-73.281,ST JEAN (YJN)
CYJT,YJT,STEPHENVILLE,STEPHENVILLE,CANADA,48,32,39,N,58,33,0,W,26,48.544,-58.55,STEPHENVILLE (YJT)
CYKA,YKA,KAMLOOPS,KAMLOOPS,CANADA,50,42,8,N,120,26,31,W,346,50.702,-120.442,KAMLOOPS (YKA)
CYKF,YKF,WATERLOO RGNL,WATERLOO,CANADA,43,27,32,N,80,23,4,W,317,43.459,-80.384,WATERLOO RGNL (YKF)
CYKL,YKL,SCHEFFERVILLE,SCHEFFERVILLE,CANADA,54,48,18,N,66,48,19,W,521,54.805,-66.805,SCHEFFERVILLE (YKL)
CYKY,YKY,KINDERSLEY,KINDERSLEY,CANADA,51,31,3,N,109,10,51,W,695,51.517,-109.181,KINDERSLEY (YKY)
CYKZ,YKZ,BUTTONVILLE MUNI,TORONTO,CANADA,43,51,44,N,79,22,12,W,199,43.862,-79.37,BUTTONVILLE MUNI (YKZ)
CYLD,YLD,CHAPLEAU,CHAPLEAU,CANADA,47,49,12,N,83,20,47,W,447,47.82,-83.346,CHAPLEAU (YLD)
CYLJ,YLJ,MEADOW LAKE,MEADOW LAKE,CANADA,54,7,31,N,108,31,22,W,481,54.125,-108.523,MEADOW LAKE (YLJ)
CYLL,YLL,LLOYDMINSTER,LLOYDMINSTER,CANADA,53,18,33,N,110,4,21,W,669,53.309,-110.072,LLOYDMINSTER (YLL)
CYLT,YLT,ALERT,ALERT,CANADA,82,31,4,N,62,16,50,W,31,82.518,-62.281,ALERT (YLT)
CYLW,YLW,KELOWNA,KELOWNA,CANADA,49,57,22,N,119,22,40,W,430,49.956,-119.378,KELOWNA (YLW)
CYMA,YMA,MAYO,MAYO,CANADA,63,37,0,N,135,52,0,W,504,63.617,-135.867,MAYO (YMA)
CYMJ,YMJ,MOOSE JAW,MOOSE JAW,CANADA,50,19,49,N,105,33,33,W,577,50.33,-105.559,MOOSE JAW (YMJ)
CYMM,YMM,FORT MCMURRAY,FORT MCMURRAY,CANADA,56,39,12,N,111,13,19,W,370,56.653,-111.222,FORT MCMURRAY (YMM)
CYMO,YMO,MOOSONEE,MOOSONEE,CANADA,51,17,28,N,80,36,28,W,10,51.291,-80.608,MOOSONEE (YMO)
CYMW,YMW,MANIWAKI,MANIWAKI,CANADA,46,16,28,N,75,59,24,W,201,46.274,-75.99,MANIWAKI (YMW)
CYMX,YMX,MONTREAL INTERNATIONAL MIRABEL,MONTREAL,CANADA,45,40,47,N,74,2,19,W,83,45.68,-74.039,MONTREAL INTERNATIONAL MIRABEL (YMX)
CYNA,YNA,NATASHQUAN,NATASHQUAN,CANADA,50,11,23,N,61,47,21,W,11,50.19,-61.789,NATASHQUAN (YNA)
CYND,YND,GATINEAU,GATINEAU,CANADA,45,31,17,N,75,33,51,W,65,45.521,-75.564,GATINEAU (YND)
CYNM,YNM,MATAGAMI,MATAGAMI,CANADA,49,45,42,N,77,48,10,W,280,49.762,-77.803,MATAGAMI (YNM)
CYOC,YOC,OLD CROW,OLD CROW,CANADA,67,34,14,N,139,50,21,W,252,67.571,-139.839,OLD CROW (YOC)
CYOD,YOD,COLD LAKE,COLD LAKE,CANADA,54,24,18,N,110,16,46,W,542,54.405,-110.279,COLD LAKE (YOD)
CYOJ,YOJ,HIGH LEVEL,HIGH LEVEL,CANADA,58,37,17,N,117,9,53,W,339,58.621,-117.165,HIGH LEVEL (YOJ)
CYOW,YOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,OTTAWA,CANADA,45,19,21,N,75,40,9,W,114,45.323,-75.669,OTTAWA MACDONALD CARTIER INTERNATIONAL (YOW)
CYPA,YPA,PRINCE ALBERT GLASS FIELD,PRINCE ALBERT,CANADA,53,12,51,N,105,40,22,W,429,53.214,-105.673,PRINCE ALBERT GLASS FIELD (YPA)
CYPE,YPE,PEACE RIVER,PEACE RIVER,CANADA,56,13,37,N,117,26,50,W,571,56.227,-117.447,PEACE RIVER (YPE)
CYPG,YPG,SOUTHPORT,PORTAGE-LA-PRAIRIE,CANADA,49,54,10,N,98,16,29,W,270,49.903,-98.275,SOUTHPORT (YPG)
